Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
M013,369,1.09884,0.268787,M13_10uM,compound,13,M,1.02372,0.656428
M014,388,0.966796,0.28175,M14_10uM,compound,14,M,0.750995,-0.772495
M015,328,1.07271,0.240697,M15_10uM,compound,15,M,0.969759,0.373696
M016,289,1.10388,0.284529,M16_10uM,compound,16,M,1.03412,0.710921
M017,322,0.95367,0.286185,M17_10uM,compound,17,M,0.723885,-0.914539
M018,324,1.14052,0.26958,M18_10uM,compound,18,M,1.10981,1.10745
M019,276,1.11255,0.267297,M19_10uM,compound,19,M,1.05204,0.804779
M020,304,1.0217,0.250779,M20_10uM,compound,20,M,0.864384,-0.178405
M021,235,0.9997,0.269501,M21_10uM,compound,21,M,0.818954,-0.416432
M022,279,1.1136,0.297907,M22_10uM,compound,22,M,1.05421,0.816178
M023,361,0.821257,0.185166,Cobimetinib_200nM,pos.erk,23,M,0.450396,-2.34745
M024,262,1.08414,0.255348,DMSO_1E-3,neg,24,M,0.993351,0.497304
N001,305,1.08938,0.291157,N1_10uM,compound,1,N,1.00418,0.554032
N002,374,1.06619,0.26269,N2_10uM,compound,2,N,0.956273,0.303039
N003,210,0.828809,0.282445,N3_10uM,compound,3,N,0.465994,-2.26573
N004,317,0.95013,0.268623,N4_10uM,compound,4,N,0.716573,-0.952847
N005,255,0.981421,0.247018,N5_10uM,compound,5,N,0.7812,-0.614239
N006,127,1.07884,0.276298,N6_10uM,compound,6,N,0.982416,0.440012
N007,246,0.983322,0.226182,N7_10uM,compound,7,N,0.785127,-0.593667
N008,369,1.08729,0.264603,N8_10uM,compound,8,N,0.999858,0.531393
N009,306,1.06437,0.286647,N9_10uM,compound,9,N,0.952517,0.283358
N010,261,0.944059,0.270119,N10_10uM,compound,10,N,0.704033,-1.01855
N011,335,1.11438,0.262549,N11_10uM,compound,11,N,1.05581,0.824525
N012,354,1.0831,0.281582,N12_10uM,compound,12,N,0.991207,0.486069
N013,350,1.08098,0.27123,N13_10uM,compound,13,N,0.986835,0.463163
N014,289,1.07166,0.258206,N14_10uM,compound,14,N,0.967585,0.362302
N015,176,1.05137,0.233912,N15_10uM,compound,15,N,0.925672,0.142707
N016,342,0.95615,0.263691,N16_10uM,compound,16,N,0.729005,-0.887709
N017,319,0.960233,0.224512,N17_10uM,compound,17,N,0.737439,-0.843524
N018,258,0.978995,0.25239,N18_10uM,compound,18,N,0.77619,-0.640489
N019,253,0.939662,0.239874,N19_10uM,compound,19,N,0.694951,-1.06613
N020,325,1.08233,0.279262,N20_10uM,compound,20,N,0.989613,0.477715
N021,261,0.993206,0.239932,N21_10uM,compound,21,N,0.805543,-0.4867
